"ProcessName","Path","Id"
"ApplicationFrameHost","C:\Windows\system32\ApplicationFrameHost.exe","3304"
"blnsvr",,"2888"
"conhost","C:\Windows\system32\conhost.exe","8744"
"csrss",,"496"
"csrss",,"6612"
"ctfmon",,"4728"
"dllhost","C:\Windows\system32\DllHost.exe","8864"
"dwm",,"8196"
"explorer","C:\Windows\Explorer.EXE","9280"
"fontdrvhost",,"884"
"fontdrvhost",,"6652"
"Idle",,"0"
"lsass",,"744"
"Memory Compression",,"1840"
"MoUsoCoreWorker",,"6276"
"MpCopyAccelerator",,"3728"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","2212"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","5116"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","5524"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","7748"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9088"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9392"
"msedge","C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe","9776"
"MsMpEng",,"6356"
"MusNotifyIcon","C:\Windows\system32\MusNotifyIcon.exe","3716"
"NisSrv",,"2524"
"powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","10004"
"Registry",,"108"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","3516"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4160"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","4240"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","5548"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6484"
"SearchApp","C:\Windows\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","5664"
"SearchIndexer",,"7064"
"SecurityHealthService",,"5268"
"services",,"712"
"SgrmBroker",,"6480"
"ShellExperienceHost","C:\Windows\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","4200"
"sihost","C:\Windows\system32\sihost.exe","9628"
"smartscreen","C:\Windows\System32\smartscreen.exe","6752"
"smss",,"392"
"spoolsv",,"2620"
"StartMenuExperienceHost","C:\Windows\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","8440"
"svchost",,"364"
"svchost",,"860"
"svchost",,"976"
"svchost","C:\Windows\system32\svchost.exe","1036"
"svchost",,"1064"
"svchost",,"1104"
"svchost",,"1136"
"svchost",,"1160"
"svchost",,"1176"
"svchost",,"1200"
"svchost",,"1292"
"svchost",,"1304"
"svchost",,"1384"
"svchost",,"1396"
"svchost",,"1424"
"svchost",,"1532"
"svchost",,"1628"
"svchost",,"1716"
"svchost",,"1728"
"svchost",,"1736"
"svchost",,"1808"
"svchost",,"1872"
"svchost",,"1928"
"svchost",,"1936"
"svchost",,"2008"
"svchost",,"2116"
"svchost",,"2200"
"svchost",,"2232"
"svchost",,"2248"
"svchost",,"2320"
"svchost",,"2420"
"svchost",,"2428"
"svchost",,"2496"
"svchost",,"2540"
"svchost",,"2668"
"svchost",,"2696"
"svchost",,"2776"
"svchost",,"2864"
"svchost",,"2872"
"svchost",,"2880"
"svchost",,"2904"
"svchost",,"2912"
"svchost",,"2996"
"svchost",,"3008"
"svchost",,"3056"
"svchost",,"3360"
"svchost",,"3424"
"svchost",,"3852"
"svchost",,"4064"
"svchost",,"4188"
"svchost",,"4284"
"svchost",,"4412"
"svchost",,"4472"
"svchost",,"4668"
"svchost",,"5344"
"svchost",,"5356"
"svchost",,"6052"
"svchost",,"6180"
"svchost",,"6212"
"svchost","C:\Windows\system32\svchost.exe","6368"
"svchost",,"6744"
"svchost",,"7032"
"svchost",,"7268"
"svchost",,"7300"
"svchost",,"7704"
"svchost","C:\Windows\system32\svchost.exe","7776"
"svchost",,"7904"
"svchost",,"8016"
"svchost","C:\Windows\system32\svchost.exe","8844"
"svchost","C:\Windows\system32\svchost.exe","9928"
"System",,"4"
"SystemSettingsAdminFlows",,"9848"
"SystemSettingsBroker","C:\Windows\System32\SystemSettingsBroker.exe","8964"
"taskhostw",,"4648"
"taskhostw","C:\Windows\system32\taskhostw.exe","8568"
"TextInputHost","C:\Windows\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\TextInputHost.exe","4936"
"TiWorker",,"2844"
"TrustedInstaller",,"5624"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","8356"
"vdagent",,"7140"
"vdservice",,"2160"
"wininit",,"576"
"winlogon",,"4040"
"WmiPrvSE",,"7996"
