"Name","DisplayName"
"Appinfo","Application Information"
"AppMgmt","Application Management"
"AudioEndpointBuilder","Windows Audio Endpoint Builder"
"Audiosrv","Windows Audio"
"BalloonService","Balloon Service"
"BFE","Base Filtering Engine"
"BrokerInfrastructure","Background Tasks Infrastructure Service"
"BthAvctpSvc","AVCTP service"
"camsvc","Capability Access Manager Service"
"cbdhsvc_b6466e","Clipboard User Service_b6466e"
"CDPSvc","Connected Devices Platform Service"
"CDPUserSvc_b6466e","Connected Devices Platform User Service_b6466e"
"ClipSVC","Client License Service (ClipSVC)"
"CoreMessagingRegistrar","CoreMessaging"
"CryptSvc","Cryptographic Services"
"DcomLaunch","DCOM Server Process Launcher"
"Dhcp","DHCP Client"
"DiagTrack","Connected User Experiences and Telemetry"
"DispBrokerDesktopSvc","Display Policy Service"
"Dnscache","DNS Client"
"DPS","Diagnostic Policy Service"
"DsSvc","Data Sharing Service"
"DusmSvc","Data Usage"
"EventLog","Windows Event Log"
"EventSystem","COM+ Event System"
"FontCache","Windows Font Cache Service"
"IKEEXT","IKE and AuthIP IPsec Keying Modules"
"InstallService","Microsoft Store Install Service"
"iphlpsvc","IP Helper"
"KeyIso","CNG Key Isolation"
"LanmanServer","Server"
"LanmanWorkstation","Workstation"
"lfsvc","Geolocation Service"
"LicenseManager","Windows License Manager Service"
"lmhosts","TCP/IP NetBIOS Helper"
"LSM","Local Session Manager"
"mpssvc","Windows Defender Firewall"
"NcbService","Network Connection Broker"
"netprofm","Network List Service"
"NlaSvc","Network Location Awareness"
"nsi","Network Store Interface Service"
"OneSyncSvc_b6466e","Sync Host_b6466e"
"PcaSvc","Program Compatibility Assistant Service"
"PlugPlay","Plug and Play"
"Power","Power"
"ProfSvc","User Profile Service"
"RasMan","Remote Access Connection Manager"
"RmSvc","Radio Management Service"
"RpcEptMapper","RPC Endpoint Mapper"
"RpcSs","Remote Procedure Call (RPC)"
"SamSs","Security Accounts Manager"
"Schedule","Task Scheduler"
"SecurityHealthService","Windows Security Service"
"SEMgrSvc","Payments and NFC/SE Manager"
"SENS","System Event Notification Service"
"SgrmBroker","System Guard Runtime Monitor Broker"
"ShellHWDetection","Shell Hardware Detection"
"Spooler","Print Spooler"
"SSDPSRV","SSDP Discovery"
"SstpSvc","Secure Socket Tunneling Protocol Service"
"StateRepository","State Repository Service"
"StorSvc","Storage Service"
"SysMain","SysMain"
"SystemEventsBroker","System Events Broker"
"TabletInputService","Touch Keyboard and Handwriting Panel Service"
"Themes","Themes"
"TimeBrokerSvc","Time Broker"
"TokenBroker","Web Account Manager"
"TrkWks","Distributed Link Tracking Client"
"TrustedInstaller","Windows Modules Installer"
"UdkUserSvc_b6466e","Udk User Service_b6466e"
"UserManager","User Manager"
"UsoSvc","Update Orchestrator Service"
"VaultSvc","Credential Manager"
"vdservice","SPICE VDAgent"
"Wcmsvc","Windows Connection Manager"
"WdiServiceHost","Diagnostic Service Host"
"WdiSystemHost","Diagnostic System Host"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service"
"WinDefend","Microsoft Defender Antivirus Service"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service"
"Winmgmt","Windows Management Instrumentation"
"wisvc","Windows Insider Service"
"WpnService","Windows Push Notifications System Service"
"WpnUserService_b6466e","Windows Push Notifications User Service_b6466e"
"wscsvc","Security Center"
"WSearch","Windows Search"
"wuauserv","Windows Update"
